Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-11 Years Old,Meghalaya,Total,56.96,56.51,53.42,49.97,42.38,44.08,36.36,51.8,55.2,58.4
6-11 Years Old,Meghalaya,Boy,NA,NA,NA,51.77,42.81,44.78,37.2,52.5,57.2,61
6-11 Years Old,Meghalaya,Girl,NA,NA,NA,48.15,41.95,43.37,35.51,51,53.1,55.7
6-11 Years Old,Mizoram,Total,59.31,56.38,55.61,49.84,31.58,49.62,47.75,33.4,26.8,37.9
6-11 Years Old,Mizoram,Boy,NA,NA,NA,50.84,33.91,50.29,47.85,31.7,25.3,37.1
6-11 Years Old,Mizoram,Girl,NA,NA,NA,48.71,28.96,48.87,47.65,35.2,28.4,38.7
6-11 Years Old,Nagaland,Total,41.5,51.8,32.81,42.69,38.43,20.19,37.95,40.5,39.9,39.9
6-11 Years Old,Nagaland,Boy,NA,NA,NA,41.79,37.38,20.11,36.76,40.7,40.1,40.1
6-11 Years Old,Nagaland,Girl,NA,NA,NA,43.66,39.53,20.27,39.21,40.4,39.8,39.8
6-11 Years Old,Odisha,Total,39.38,46.13,38.19,39.34,35.66,27.82,23.19,33.1,26.5,7
6-11 Years Old,Odisha,Boy,NA,NA,NA,42.6,41.66,26.91,24.35,33.3,26.7,11
6-11 Years Old,Odisha,Girl,NA,NA,NA,35.17,27.44,28.81,21.92,32.9,26.2,2.4
6-11 Years Old,Rajasthan,Total,63.2,56.93,57.94,56.94,52.84,43,46.57,50.6,50.5,50.6
6-11 Years Old,Rajasthan,Boy,NA,NA,NA,58.92,57.2,38.66,45.46,49.3,49.1,49.9
6-11 Years Old,Rajasthan,Girl,NA,NA,NA,52.9,45.94,47.45,47.86,52,52.1,51.5
6-11 Years Old,Sikkim,Total,61.76,52.06,53.85,49.44,17.84,24.31,19.67,36.9,18.6,18.4
6-11 Years Old,Sikkim,Boy,NA,NA,NA,52.01,22.66,29.08,26.21,42,24.6,24.9
6-11 Years Old,Sikkim,Girl,NA,NA,NA,46.8,12.71,19.37,12.54,31.5,12,11
6-11 Years Old,Tamil Nadu,Total,27.24,15.37,3.23,0.94,NA,8.02,8.48,NA,0.4,NA
6-11 Years Old,Tamil Nadu,Boy,NA,NA,NA,1.94,NA,8.64,8.12,NA,0.3,NA
6-11 Years Old,Tamil Nadu,Girl,NA,NA,NA,NA,NA,7.36,8.87,NA,0.4,NA
6-11 Years Old,Tripura,Total,50.53,42.97,44.8,43.2,28.76,18.09,22.57,22.5,25.5,31.1
6-11 Years Old,Tripura,Boy,NA,NA,NA,43.76,28.94,18.15,24.34,24.6,25.9,31.9
6-11 Years Old,Tripura,Girl,NA,NA,NA,42.58,28.56,18.02,20.57,20.1,25,30.3
6-11 Years Old,Uttar Pradesh,Total,49.4,23.55,13.51,12.06,9.76,31.09,33.94,37.8,42.1,34.1
6-11 Years Old,Uttar Pradesh,Boy,NA,NA,NA,21.8,20.15,30.16,36.28,41.2,42.4,33.5
6-11 Years Old,Uttar Pradesh,Girl,NA,NA,NA,NA,NA,32.16,31.25,34,41.7,34.8
6-11 Years Old,Uttarakhand,Total,NA,NA,NA,NA,27.42,18.63,19.81,33.9,32.6,32.9
6-11 Years Old,Uttarakhand,Boy,NA,NA,NA,NA,23.44,19.71,21.84,35.8,33.8,33.5
6-11 Years Old,Uttarakhand,Girl,NA,NA,NA,NA,31.4,17.47,17.63,31.8,31.3,32.2
6-11 Years Old,West Bengal,Total,39.86,36.41,33.46,43.65,40.18,30.15,35.87,29.8,20.5,28.4
6-11 Years Old,West Bengal,Boy,NA,NA,NA,43.23,37.58,30.9,36.52,30.7,24.5,29.8
6-11 Years Old,West Bengal,Girl,NA,NA,NA,44.1,42.94,29.36,35.18,28.8,16.1,27
6-14 Years Old,India,Total,NA,NA,NA,50.84,49.95,45.9,42.68,39.3,42.5,40.6
6-14 Years Old,India,Boy,NA,NA,NA,50.49,49.64,46.44,43.72,41.1,41.1,40.3
6-14 Years Old,India,Girl,NA,NA,NA,51.28,50.36,45.22,41.34,36.9,44.2,41
6-14 Years Old,Andaman and Nicobar Islands,Total,26.98,18.42,18.86,10.44,12.44,8.98,15.9,15.2,11.6,15.1
6-14 Years Old,Andaman and Nicobar Islands,Boy,NA,NA,NA,8.98,10.55,8.18,17.19,13.7,10.4,13.2
6-14 Years Old,Andaman and Nicobar Islands,Girl,NA,NA,NA,12.03,14.46,9.84,14.44,16.9,12.9,17.1
6-14 Years Old,Andhra Pradesh,Total,63.09,59.94,59.79,59.36,59.07,56.74,48.75,40.7,41.3,32.9
6-14 Years Old,Andhra Pradesh,Boy,NA,NA,NA,57.72,57.81,55.68,47.74,40,40.9,33
