Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-16 Years Old,Rajasthan,Total,75.36,75.77,75.47,73.87,75.73,73.88,71.45,71.7,71.6,68.5
6-16 Years Old,Rajasthan,Boy,NA,NA,NA,69.33,71.36,69.45,70.19,69.9,70.5,68.2
6-16 Years Old,Rajasthan,Girl,NA,NA,NA,80.72,81.8,79.79,73.58,74.5,73.4,69
6-16 Years Old,Sikkim,Total,88.39,75.12,80.82,82.3,82.63,84.97,79.98,82.3,80.7,69.9
6-16 Years Old,Sikkim,Boy,NA,NA,NA,83.34,83.79,84.75,80.63,82,82.1,72.4
6-16 Years Old,Sikkim,Girl,NA,NA,NA,81.15,81.37,85.17,79.3,82.5,79.4,67.1
6-16 Years Old,Tamil Nadu,Total,57.66,46.8,58.82,55.19,42.45,41.72,37.73,39.9,34.1,25.9
6-16 Years Old,Tamil Nadu,Boy,NA,NA,NA,57.27,43.6,43.58,38.88,41.4,37.6,28.2
6-16 Years Old,Tamil Nadu,Girl,NA,NA,NA,52.71,41.2,39.67,36.51,38.3,30.3,23.6
6-16 Years Old,Tripura,Total,76.92,74.27,74.31,73.36,74.89,74.57,73.42,71,62.9,58.4
6-16 Years Old,Tripura,Boy,NA,NA,NA,73.58,74.5,73.75,73.48,71.7,63.4,59.1
6-16 Years Old,Tripura,Girl,NA,NA,NA,73.11,75.31,75.45,73.35,70.3,62.3,57.5
6-16 Years Old,Uttar Pradesh,Total,58.98,46.31,44.1,43.77,42.26,46.15,30.19,14.1,18.5,24
6-16 Years Old,Uttar Pradesh,Boy,NA,NA,NA,40.49,39.05,42.18,34.01,19.7,25.2,29.8
6-16 Years Old,Uttar Pradesh,Girl,NA,NA,NA,48.99,47.36,52.36,24.05,4.7,7.2,14.4
6-16 Years Old,Uttarakhand,Total,NA,NA,NA,NA,NA,NA,NA,36.5,42.2,36.6
6-16 Years Old,Uttarakhand,Boy,NA,NA,NA,NA,NA,NA,NA,33.3,38.5,31.8
6-16 Years Old,Uttarakhand,Girl,NA,NA,NA,NA,NA,NA,NA,39.6,45.9,41.3
6-16 Years Old,West Bengal,Total,78.52,78.74,80.24,78.03,75.12,72.15,72.8,72,71.8,64.2
6-16 Years Old,West Bengal,Boy,NA,NA,NA,75.92,72.82,70.98,71.38,70.4,72.9,64.9
6-16 Years Old,West Bengal,Girl,NA,NA,NA,80.34,77.68,73.55,74.4,73.8,70.7,63.5
