School Type,India/ State/ UTs,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Haryana,"1,847.00","2,263.00","2,171.00","2,269.00","2,168.00","2,573.00","3,196.00","3,458.00","3,439.00","3,483.00"
Upper Primary School,Himachal Pradesh,"1,768.00","1,902.00","2,076.00","2,210.00","2,457.00","2,566.00","5,009.00","5,015.00","4,921.00","5,084.00"
Upper Primary School,Jammu and Kashmir,"3,728.00","3,976.00","3,613.00","4,239.00","5,202.00","5,202.00","5,202.00","7,382.00","8,877.00","8,877.00"
Upper Primary School,Jharkhand,"4,187.00","4,270.00","4,324.00","4,933.00","6,232.00","7,878.00","9,996.00","9,996.00","14,070.00","14,863.00"
Upper Primary School,Karnataka,"27,712.00","23,643.00","25,612.00","26,816.00","27,512.00","27,849.00","27,570.00","30,876.00","32,041.00","33,126.00"
Upper Primary School,Kerala,"2,983.00","2,988.00","2,975.00","3,049.00","3,044.00","3,037.00","3,042.00","3,092.00","3,062.00","3,059.00"
Upper Primary School,Lakshadweep,3,20,4,6,5,4,4,10,10,10
Upper Primary School,Madhya Pradesh,"25,090.00","27,643.00","30,592.00","34,641.00","35,133.00","37,095.00","38,107.00","39,227.00","43,752.00","96,797.00"
Upper Primary School,Maharashtra,"24,574.00","25,775.00","26,033.00","26,295.00","26,270.00","26,863.00","26,863.00","26,930.00","27,271.00","27,654.00"
Upper Primary School,Manipur,796,794,832,831,831,769,769,792,792,732
Upper Primary School,Meghalaya,"1,041.00","1,083.00","1,559.00","1,759.00","1,759.00","2,259.00","2,259.00","2,259.00","2,259.00","2,259.00"
Upper Primary School,Mizoram,851,848,908,939,"1,121.00","1,081.00","1,090.00","1,253.00","1,313.00","1,353.00"
Upper Primary School,Nagaland,479,427,480,480,481,481,465,465,465,465
Upper Primary School,Odisha,"11,510.00","11,515.00","11,510.00","15,893.00","17,012.00","17,322.00","20,013.00","21,521.00","22,209.00","22,649.00"
Upper Primary School,Puducherry,132,133,125,127,119,118,112,121,118,108
Upper Primary School,Punjab,"2,512.00","2,546.00","2,493.00","2,503.00","2,481.00","2,481.00","2,477.00","6,321.00","9,110.00","3,792.00"
Upper Primary School,Rajasthan,"16,736.00","23,181.00","23,942.00","26,201.00","28,955.00","31,011.00","34,211.00","38,698.00","38,889.00","36,788.00"
Upper Primary School,Sikkim,129,129,126,185,205,217,221,215,244,244
Upper Primary School,Tamil Nadu,"5,809.00","6,544.00","6,825.00","7,111.00","8,017.00","8,126.00","8,629.00","9,938.00","9,966.00","9,810.00"
Upper Primary School,Tripura,432,435,453,"1,001.00","1,004.00","1,020.00","1,021.00","1,059.00","1,139.00","1,246.00"
Upper Primary School,Uttar Pradesh,"20,429.00","28,936.00","35,427.00","36,874.00","40,021.00","44,121.00","42,201.00","47,007.00","51,948.00","53,281.00"
Upper Primary School,Uttarakhand,"3,487.00","3,471.00","3,557.00","3,861.00","4,067.00","4,263.00","4,263.00","4,296.00","4,296.00","4,365.00"
Upper Primary School,West Bengal,"2,384.00","2,003.00","1,984.00","1,929.00","1,229.00","1,241.00","1,283.00","1,407.00","4,296.00","2,623.00"
